,composer,work,theatre,city,date
5171,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-02-24
5172,Igor Stravinsky,The Rake's Progress ,West Road Concert Hall,Cambridge,2005-02-24
5173,Wolfgang Amadeus Mozart,Don Giovanni K 527,Leeds Grand Theatre and Opera House,Leeds,2005-02-25
5174,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-25
5175,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2005-02-25
5176,Alban Berg,Wozzeck Op 7,Wales Millennium Centre,Cardiff,2005-02-25
5177,Giacomo Puccini,Madama Butterfly ,Liverpool Empire Theatre,Liverpool,2005-02-25
5178,Gaetano Donizetti,Don Pasquale ,The Playhouse ,Cheltenham,2005-02-26
5179,Gioachino Rossini,"La Gazza ladra, 'The Thieving Magpie' ",Leeds Grand Theatre and Opera House,Leeds,2005-02-26
5180,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-26
5181,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-26
5182,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Royal Opera House Covent Garden,London,2005-02-26
5183,Pietro Mascagni,Le Villi ,"Queen Elizabeth Hall, Southbank Centre",London,2005-02-26
5184,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-02-26
5185,George Frideric Handel,Semele HWV 58,Theatre Royal,Glasgow,2005-02-26
5186,Giuseppe Verdi,La Traviata ,Wales Millennium Centre,Cardiff,2005-02-26
5187,Giacomo Puccini,Madama Butterfly ,Liverpool Empire Theatre,Liverpool,2005-02-26
5188,Gioachino Rossini,Composition Not Known ,Claverdon Church Centre,Claverdon,2005-02-26
5189,Georges Bizet,Carmen ,Royal Albert Hall,London,2005-02-27
5190,Gaetano Donizetti,Don Pasquale ,The Playhouse ,Cheltenham,2005-02-27
5191,Giuseppe Verdi,La Traviata ,St George's Concert Hall,Bradford,2005-02-27
5192,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Royal Opera House Covent Garden,London,2005-02-28
5193,Giuseppe Verdi,La Traviata ,Caird Hall,Dundee,2005-02-28
5194,Gaetano Donizetti,Don Pasquale ,The Playhouse ,Cheltenham,2005-03-01
5195,George Frideric Handel,Semele HWV 58,Theatre Royal,Glasgow,2005-03-01
5196,Giacomo Puccini,Madama Butterfly ,Playhouse Theatre,Edinburgh,2005-03-01
5197,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Dancehouse Theatre,Manchester,2005-03-01
5198,Gaetano Donizetti,Don Pasquale ,The Playhouse ,Cheltenham,2005-03-02
5199,Giacomo Puccini,Madama Butterfly ,Playhouse Theatre,Edinburgh,2005-03-02
5200,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Dancehouse Theatre,Manchester,2005-03-02
5201,Claudio Monteverdi,"L'incoronazione di Poppea, 'The Coronation of Poppea' ",Royal Festival Hall,London,2005-03-03
5202,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Royal Opera House Covent Garden,London,2005-03-03
5203,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2005-03-03
5204,Giuseppe Verdi,La Traviata ,Playhouse Theatre,Edinburgh,2005-03-03
5205,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Dancehouse Theatre,Manchester,2005-03-03
5206,Gaetano Donizetti,Don Pasquale ,The Playhouse ,Cheltenham,2005-03-04
5207,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Royal Opera House Covent Garden,London,2005-03-04
5208,Geoff Cummings-Knight,Severn Rides for Severn Lovers ,Kidderminster Town Hall,Kidderminster,2005-03-04
5209,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-03-04
5210,George Frideric Handel,Semele HWV 58,Theatre Royal,Glasgow,2005-03-04
5211,Giacomo Puccini,Madama Butterfly ,Playhouse Theatre,Edinburgh,2005-03-04
5212,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Dancehouse Theatre,Manchester,2005-03-04
5213,Gaetano Donizetti,Don Pasquale ,The Playhouse ,Cheltenham,2005-03-05
5214,Geoff Cummings-Knight,Severn Rides for Severn Lovers ,Kidderminster Town Hall,Kidderminster,2005-03-05
5215,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Royal Opera House Covent Garden,London,2005-03-05
5216,Léo Delibes," 
								One Fine Day from 'Madam Butterfly' 
						",The Anvil,Basingstoke,2005-03-05
5217,Giacomo Puccini,Madama Butterfly ,Playhouse Theatre,Edinburgh,2005-03-05
5218,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Dancehouse Theatre,Manchester,2005-03-05
5219,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Dancehouse Theatre,Manchester,2005-03-05
5220,Giuseppe Verdi,La Traviata ,Wales Millennium Centre,Cardiff,2005-03-06
5221,Giacomo Puccini,Madama Butterfly ,Aberdeen Music Hall,Aberdeen,2005-03-06
5222,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2005-03-07
5223,Giuseppe Verdi,La Traviata ,Royal Concert Hall,Glasgow,2005-03-07
5224,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,The London Coliseum,London,2005-03-08
5225,Giuseppe Verdi,La Traviata ,Royal Concert Hall,Glasgow,2005-03-08
5226,Ruggiero Leoncavallo,Cavalleria Rusticana ,Wales Millennium Centre,Cardiff,2005-03-08
5227,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2005-03-09
5228,Giuseppe Verdi,La Traviata ,Wales Millennium Centre,Cardiff,2005-03-09
5229,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Royal Opera House Covent Garden,London,2005-03-09
5230,Giacomo Puccini,Madama Butterfly ,Caird Hall,Dundee,2005-03-09
5231,Jacques Offenbach,"Orphee aux enfers, 'Orpheus in the Underworld' ",The New Theatre Royal,Portsmouth,2005-03-09
5232,Wolfgang Amadeus Mozart,Composition Not Known ,St John's Smith Square,London,2005-03-09
5233,Giuseppe Verdi,Aida ,Edinburgh Festival Theatre,Edinburgh,2005-03-09
5234,Giuseppe Verdi,La Traviata ,Sunderland Empire Theatre,Sunderland,2005-03-10
5235,Ruggiero Leoncavallo,Cavalleria Rusticana ,Wales Millennium Centre,Cardiff,2005-03-10
5236,Jacques Offenbach,"Orphee aux enfers, 'Orpheus in the Underworld' ",The New Theatre Royal,Portsmouth,2005-03-10
5237,Giuseppe Verdi,Aida ,Edinburgh Festival Theatre,Edinburgh,2005-03-10
5238,Giuseppe Verdi,La Traviata ,Wales Millennium Centre,Cardiff,2005-03-11
5239,W S Gilbert & Sir Arthur Sullivan,Composition Not Known ,Wyllyotts Theatre,Potters Bar,2005-03-11
5240,Giacomo Puccini,Madama Butterfly ,Sunderland Empire Theatre,Sunderland,2005-03-11
5241,Jacques Offenbach,"Orphee aux enfers, 'Orpheus in the Underworld' ",The New Theatre Royal,Portsmouth,2005-03-11
5242,Giuseppe Verdi,Where The Bee Sucks ,"Woolfenden Hall, Warwickshire College",Rugby,2005-03-11
5243,Giuseppe Verdi,Aida ,Edinburgh Festival Theatre,Edinburgh,2005-03-11
5244,Alban Berg,Wozzeck Op 7,Wales Millennium Centre,Cardiff,2005-03-12
5245,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Royal Opera House Covent Garden,London,2005-03-12
5246,Sir Arthur Sullivan," 
								Excerpts from 'HMS Pinafore' 
						",Central Church,Dovercourt,2005-03-12
5247,Giacomo Puccini,Madama Butterfly ,Sunderland Empire Theatre,Sunderland,2005-03-12
5248,Jacques Offenbach,"Orphee aux enfers, 'Orpheus in the Underworld' ",The New Theatre Royal,Portsmouth,2005-03-12
5249,Giuseppe Verdi,Where The Bee Sucks ,Yoxall Village Hall,"Yoxall, Burton-on-Trent",2005-03-12
5250,Giuseppe Verdi,Aida ,Edinburgh Festival Theatre,Edinburgh,2005-03-12
5251,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Theatr Ardudwy,Harlech,2005-03-12
5252,Giacomo Puccini,Madama Butterfly ,The Sands Centre,Carlisle,2005-03-13
5253,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Royal Opera House Covent Garden,London,2005-03-15
5254,Giacomo Puccini,Madama Butterfly ,Bristol Hippodrome,Bristol,2005-03-15
5255,Ruggiero Leoncavallo,Cavalleria Rusticana ,Milton Keynes Theatre,Milton Keynes,2005-03-15
5256,Benjamin Britten,Curlew River ,St Mary's Episcopal Cathedral,Edinburgh,2005-03-15
5257,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,King's Theatre,Edinburgh,2005-03-15
5258,Giuseppe Verdi,La Traviata ,Milton Keynes Theatre,Milton Keynes,2005-03-16
5259,Giacomo Puccini,Madama Butterfly ,Bristol Hippodrome,Bristol,2005-03-16
5260,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,King's Theatre,Edinburgh,2005-03-16
5261,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2005-03-17
5262,George Frideric Handel,Semele HWV 58,Edinburgh Festival Theatre,Edinburgh,2005-03-17
5263,Giacomo Puccini,Madama Butterfly ,Bristol Hippodrome,Bristol,2005-03-17
5264,Ruggiero Leoncavallo,Cavalleria Rusticana ,Milton Keynes Theatre,Milton Keynes,2005-03-17
5265,Benjamin Britten,Curlew River ,St Mary's Episcopal Cathedral,Edinburgh,2005-03-17
5266,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,King's Theatre,Edinburgh,2005-03-17
5267,Giuseppe Verdi,Il Trovatore ,The Centenary Methodist Church,Boston,2005-03-18
5268,Giuseppe Verdi,La Traviata ,Milton Keynes Theatre,Milton Keynes,2005-03-18
5269,Giacomo Puccini,Madama Butterfly ,Bristol Hippodrome,Bristol,2005-03-18
5270,Benjamin Britten,Curlew River ,St Mary's Episcopal Cathedral,Edinburgh,2005-03-18
5271,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,King's Theatre,Edinburgh,2005-03-18
5272,Giuseppe Verdi,Il Trovatore ,The Centenary Methodist Church,Boston,2005-03-19
5273,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2005-03-19
5274,George Frideric Handel,Semele HWV 58,Edinburgh Festival Theatre,Edinburgh,2005-03-19
5275,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Royal Opera House Covent Garden,London,2005-03-19
5276,Sir Arthur Sullivan," 
								Excerpts from 'The Mikado' 
						",Spotland Methodist Church,Rochdale,2005-03-19
5277,Giacomo Puccini,Madama Butterfly ,Bristol Hippodrome,Bristol,2005-03-19
5278,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,King's Theatre,Edinburgh,2005-03-19
5279,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,King's Theatre,Edinburgh,2005-03-19
5280,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-03-21
5281,Giuseppe Verdi,La Traviata ,Buxton Opera House,Buxton,2005-03-21
5282,Alban Berg,Wozzeck Op 7,The Mayflower,Southampton,2005-03-22
5283,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Royal Opera House Covent Garden,London,2005-03-22
5284,Giuseppe Verdi,La Traviata ,The Mayflower,Southampton,2005-03-23
5285,Giacomo Puccini,Madama Butterfly ,Princess Theatre,Torquay,2005-03-23
5286,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-03-24
5287,Giacomo Puccini,Madama Butterfly ,Princess Theatre,Torquay,2005-03-24
5288,Ruggiero Leoncavallo,Cavalleria Rusticana ,The Mayflower,Southampton,2005-03-24
5289,Giuseppe Verdi,La Traviata ,Princess Theatre,Torquay,2005-03-25
5290,Giacomo Puccini,Madama Butterfly ,The Marina Theatre,Lowestoft,2005-03-26
5291,Ruggiero Leoncavallo,Cavalleria Rusticana ,The Mayflower,Southampton,2005-03-26
5292,Giuseppe Verdi,La Traviata ,The Marina Theatre,Lowestoft,2005-03-27
5293,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Royal Opera House Covent Garden,London,2005-03-28
5294,Giuseppe Verdi,La Traviata ,Birmingham Hippodrome,Birmingham,2005-03-29
5295,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-03-29
5296,Howard Fredrics,The Whitechapel Whirlwind ,UCL Bloomsbury Theatre,London,2005-03-29
5297,Ruggiero Leoncavallo,Cavalleria Rusticana ,Birmingham Hippodrome,Birmingham,2005-03-30
5298,Giuseppe Verdi,La Traviata ,Birmingham Hippodrome,Birmingham,2005-03-31
5299,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-03-31
5300,Alban Berg,Wozzeck Op 7,Birmingham Hippodrome,Birmingham,2005-04-01
5301,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Buxton Opera House,Buxton,2005-04-01
5302,Wolfgang Amadeus Mozart,Così fan tutte K588,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2005-04-01
5303,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Buxton Opera House,Buxton,2005-04-02
5304,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",The London Coliseum,London,2005-04-02
5305,Gaetano Donizetti,Maria Stuarda ,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2005-04-02
5306,Ruggiero Leoncavallo,Cavalleria Rusticana ,Birmingham Hippodrome,Birmingham,2005-04-02
5307,Wolfgang Amadeus Mozart,Così fan tutte K588,Snape Maltings Concert Hall,Saxmundham (near Aldeburgh),2005-04-03
5308,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-04-04
5309,Ruggiero Leoncavallo,Cavalleria Rusticana ,Liverpool Empire Theatre,Liverpool,2005-04-05
5310,Giuseppe Verdi,La Traviata ,Liverpool Empire Theatre,Liverpool,2005-04-06
5311,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",The London Coliseum,London,2005-04-06
5312,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Kendal Town Hall,Kendal,2005-04-06
5313,Leo Delibes,Lakmé ,Victoria Rooms,"Clifton, Bristol",2005-04-06
5314,Alban Berg,Wozzeck Op 7,Liverpool Empire Theatre,Liverpool,2005-04-07
5315,Ruggiero Leoncavallo,Cavalleria Rusticana ,Concordia Theatre,Hinckley,2005-04-07
5316,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Kendal Town Hall,Kendal,2005-04-07
5317,Leo Delibes,Lakmé ,Victoria Rooms,"Clifton, Bristol",2005-04-07
5318,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-04-08
5319,Ruggiero Leoncavallo,Cavalleria Rusticana ,Liverpool Empire Theatre,Liverpool,2005-04-08
5320,Ruggiero Leoncavallo,Cavalleria Rusticana ,Concordia Theatre,Hinckley,2005-04-08
5321,Otto Nicolai,Arias ,Hinchingbrooke Performing Arts Centre,Huntingdon,2005-04-08
5322,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Kendal Town Hall,Kendal,2005-04-08
5323,Leo Delibes,Lakmé ,Victoria Rooms,"Clifton, Bristol",2005-04-08
5324,George Frideric Handel,Acis and Galatea HWV49b,Aylesbury Methodist Church,Aylesbury,2005-04-09
5325,Giuseppe Verdi,La Traviata ,Liverpool Empire Theatre,Liverpool,2005-04-09
5326,Giuseppe Verdi," 
								Chorus of the Hebrew Slaves from 'Nabucco' 
						",The Guildhall,Leicester,2005-04-09
5327,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",The London Coliseum,London,2005-04-09
5328,Ruggiero Leoncavallo,Cavalleria Rusticana ,Concordia Theatre,Hinckley,2005-04-09
5329,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Kendal Town Hall,Kendal,2005-04-09
5330,Leo Delibes,Lakmé ,Victoria Rooms,"Clifton, Bristol",2005-04-09
5331,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-04-11
5332,Charles Gounod,Faust ,Leeds Civic Theatre,Leeds,2005-04-11
5333,Giuseppe Verdi,La Traviata ,Bristol Hippodrome,Bristol,2005-04-12
5334,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Royal Opera House Covent Garden,London,2005-04-12
5335,Charles Gounod,Faust ,Leeds Civic Theatre,Leeds,2005-04-12
5336,Ruggiero Leoncavallo,Cavalleria Rusticana ,Bristol Hippodrome,Bristol,2005-04-13
5337,Charles Gounod,Faust ,Leeds Civic Theatre,Leeds,2005-04-13
5338,Alban Berg,Wozzeck Op 7,Bristol Hippodrome,Bristol,2005-04-14
5339,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-04-14
5340,Charles Gounod,Faust ,Leeds Civic Theatre,Leeds,2005-04-14
5341,Sir Lennox Berkeley,The Bear ,The Unicorn Theatre,Abingdon,2005-04-15
5342,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Royal Opera House Covent Garden,London,2005-04-15
5343,Giacomo Puccini,Madama Butterfly ,"Belfast Waterfront, Main Auditorium",Belfast,2005-04-15
5344,Sir Andrew Lloyd Webber,Composition Not Known ,View Two Gallery,Liverpool,2005-04-15
5345,Charles Gounod,Faust ,Leeds Civic Theatre,Leeds,2005-04-15
5346,Giacomo Puccini,Turandot ,Huddersfield Town Hall,Huddersfield,2005-04-16
5347,Sir Lennox Berkeley,The Bear ,Sunningwell Village Hall,Abingdon,2005-04-16
5348,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",The London Coliseum,London,2005-04-16
5349,Giuseppe Verdi,La Traviata ,"Belfast Waterfront, Main Auditorium",Belfast,2005-04-16
5350,Ruggiero Leoncavallo,Cavalleria Rusticana ,Bristol Hippodrome,Bristol,2005-04-16
5351,Wolfgang Amadeus Mozart," 
								Excerpts from 'La Bohème' 
						",The Armstrong Hall,Thornbury,2005-04-16
5352,Sir Arthur Sullivan,Trial By Jury ,"St Michael's Church, Blackheath Park",London,2005-04-16
5353,Charles Gounod,Faust ,Leeds Civic Theatre,Leeds,2005-04-16
5354,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Royal Opera House Covent Garden,London,2005-04-18
5355,Alban Berg,Lulu ,The London Coliseum,London,2005-04-18
5356,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",The London Coliseum,London,2005-04-20
5357,Wolfgang Amadeus Mozart," 
								Excerpts from 'La Bohème' 
						",The Weston Auditorium,Hatfield,2005-04-20
5358,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Royal Opera House Covent Garden,London,2005-04-21
5359,Alban Berg,Lulu ,The London Coliseum,London,2005-04-21
5360,Sir Lennox Berkeley,The Bear ,Cumnor Village Hall,Oxford,2005-04-22
5361,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-04-23
5362,Sir Lennox Berkeley,The Bear ,The Corn Exchange,Witney,2005-04-23
5363,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",The London Coliseum,London,2005-04-23
5364,Wolfgang Amadeus Mozart," 
								Excerpts from 'La Bohème' 
						",Sheringham Little Theatre,Sheringham,2005-04-23
5365,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Royal Opera House Covent Garden,London,2005-04-25
5366,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-04-26
5367,Giacomo Puccini,Madama Butterfly ,"Pavilion Theatre, International Centre",Bournemouth,2005-04-26
5368,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",The London Coliseum,London,2005-04-27
5369,Giuseppe Verdi,La Traviata ,"Pavilion Theatre, International Centre",Bournemouth,2005-04-27
5370,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-04-29
5371,Sir Lennox Berkeley,The Bear ,Jacqueline du Pré Music Building,Oxford,2005-04-29
5372,Alban Berg,Lulu ,The London Coliseum,London,2005-04-29
5373,Giuseppe Verdi,La Traviata ,De Montfort Hall,Leicester,2005-04-29
5374,Sir Lennox Berkeley,The Bear ,Jacqueline du Pré Music Building,Oxford,2005-04-30
5375,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Royal Opera House Covent Garden,London,2005-04-30
5376,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",The London Coliseum,London,2005-04-30
5377,Giacomo Puccini,Madama Butterfly ,The Anvil,Basingstoke,2005-04-30
5378,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,The Pavilion Gardens,Buxton,2005-04-30
5379,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,Royal Festival Hall,London,2005-05-01
5380,Giacomo Puccini,Madama Butterfly ,Royal Opera House Covent Garden,London,2005-05-02
5381,Lorin Maazel,1984 ,Royal Opera House Covent Garden,London,2005-05-03
5382,Michael Oliva,Midsummer ,Battersea Arts Centre,London,2005-05-03
5383,Wolfgang Amadeus Mozart," 
								Excerpts from 'Don Giovanni' K527
						","Queen Elizabeth Hall, Southbank Centre",London,2005-05-04
5384,Wolfgang Amadeus Mozart," 
								Excerpts from 'Don Giovanni' K527
						","Queen Elizabeth Hall, Southbank Centre",London,2005-05-05
5385,George Frideric Handel,"Aci, Galatea e Polifemo HWV 72",Sheldonian Theatre,Oxford,2005-05-06
5386,Lorin Maazel,1984 ,Royal Opera House Covent Garden,London,2005-05-06
5387,Lorin Maazel,1984 ,Royal Opera House Covent Garden,London,2005-05-11
5388,Wolfgang Amadeus Mozart,Così fan tutte K588,Buxton Opera House,Buxton,2005-05-12
5389,George Frideric Handel,Jephtha HWV70,The London Coliseum,London,2005-05-12
5390,Gaetano Donizetti,Maria Stuarda ,Buxton Opera House,Buxton,2005-05-13
