,country,city,venue,dates,composer,work,listing_url
609,United Kingdom,Buxton,Buxton Opera House,On Saturday 10 November 2018 at 19:30,"Purcell, Henry (1659-1695)",Dido and Aeneas,https://bachtrack.com/concert-listing/buxton-opera-house/triple-bill-dido-amp-aeneas-purcell-jonas-carissimi-i-will-not-speak-gesualdo/10-november-2018/19-30
610,Canada,Montreal,Place des Arts: Salle Wilfrid-Pelletier,"November 10, 13, 15, 17 at 19:30","Wagner, Richard (1813-1883)",Das Rheingold,https://bachtrack.com/opera-listing/place-des-arts-salle-wilfrid-pelletier/das-rheingold/10-november-2018/19-30
611,Austria,Graz,Oper Graz,"November 10, 15, 25 15:00, December 01, 09 15:00, 12, 14, 19, 2019 January 30, February 02, 08 (at 19:30 unless shown)","Strauss, Richard (1864-1949)",Salome,https://bachtrack.com/opera-listing/oper-graz/salome/10-november-2018/19-30
612,United Kingdom,Bradford on Avon,Wiltshire Music Centre,On Sunday 11 November 2018 at 19:00,"Bach, Johann Sebastian (1685-1750)","St Matthew Passion, BWV244",https://bachtrack.com/concert-listing/wiltshire-music-centre/st-matthew-passion/11-november-2018/19-00
613,United Kingdom,Bath,Theatre Royal,On Monday 12 November 2018 at 19:30,"Handel, George Frideric (1685-1759)","Radamisto, HWV 12a, b",https://bachtrack.com/opera-listing/theatre-royal/radamisto/12-november-2018/19-30
614,France,Paris,Opéra Bastille,"November 12, 15, 18 14:30, 21, 24, 28, December 01, 04, 07, 10, 13 (at 19:30 unless shown)","Verdi, Giuseppe (1813-1901)",Simon Boccanegra,https://bachtrack.com/opera-listing/opera-bastille/simon-boccanegra/12-november-2018/19-30
615,United Kingdom,Norwich,Theatre Royal,"November 13, 16 at 19:15","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/theatre-royal-167/la-traviata/13-november-2018/19-15
616,United Kingdom,Bath,Theatre Royal,On Tuesday 13 November 2018 at 19:30,"Purcell, Henry (1659-1695)",Dido and Aeneas,https://bachtrack.com/concert-listing/theatre-royal/triple-bill-dido-amp-aeneas-purcell-jonas-carissimi-i-will-not-speak-gesualdo/13-november-2018/19-30
617,Australia,Melbourne,Arts Centre Melbourne: State Theatre,"November 13 16:00, November 17 12:00, November 19 16:00, November 22 16:00","Wagner, Richard (1813-1883)",Die Meistersinger von Nürnberg,https://bachtrack.com/opera-listing/arts-centre-melbourne-state-theatre/die-meistersinger-von-nurnberg/13-november-2018/16-00
618,United Kingdom,Salford,The Lowry,"November 14, 16 at 15:00","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/the-lowry/tosca/14-november-2018/15-00
619,United Kingdom,Norwich,Theatre Royal,"November 14, 17 at 19:15","Massenet, Jules (1842-1912)",Cendrillon,https://bachtrack.com/opera-listing/theatre-royal-167/cendrillon/14-november-2018/19-15
620,Austria,Vienna,Staatsoper,"November 14, 16, 18 at 00:00","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/staatsoper/don-giovanni/14-november-2018/00-00
621,United States,New York City,Lincoln Center: Metropolitan Opera House,"November 14 19:30, November 17 20:00, November 20 20:00, November 24 13:00, November 28 20:00, December 01 20:00, December 08 20:30","Bizet, Georges (1838-1875)",Les Pêcheurs de perles (The Pearl Fishers),https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/les-pecheurs-de-perles-the-pearl-fishers/14-november-2018/19-30
622,Austria,Vienna,Theater an der Wien,"November 14, 16, 18, 21, 23, 25 at 19:00","Handel, George Frideric (1685-1759)",Teseo,https://bachtrack.com/opera-listing/theater-an-der-wien/teseo/14-november-2018/19-00
623,Austria,Vienna,Staatsoper,"November 15, 19, 22 at 00:00","Dvořák, Antonín (1841-1904)",Rusalka,https://bachtrack.com/opera-listing/staatsoper/rusalka/15-november-2018/00-00
624,United Kingdom,Salford,The Lowry,"November 15, 17 at 19:30","Lehár, Franz (1870-1948)",Die Lustige Witwe (The Merry Widow),https://bachtrack.com/opera-listing/the-lowry/die-lustige-witwe-the-merry-widow/15-november-2018/19-30
625,Norway,Bergen,Grieg Hall (Grieghallen),On Thursday 15 November 2018 at 19:30,"Haydn, Joseph (1732-1809)",Symphony no. 90 in C major,https://bachtrack.com/opera-listing/grieg-hall-grieghallen/bluebeards-castle/15-november-2018/19-30
626,Norway,Bergen,Grieg Hall (Grieghallen),On Thursday 15 November 2018 at 19:30,"Bartók, Béla (1881-1945)",Duke Bluebeard's Castle,https://bachtrack.com/opera-listing/grieg-hall-grieghallen/bluebeards-castle/15-november-2018/19-30
627,United Kingdom,London,"Royal Opera House, Covent Garden","November 15, 19, 24 19:00, 27, December 01, 05, 10 (at 19:30 unless shown)","Verdi, Giuseppe (1813-1901)",Simon Boccanegra,https://bachtrack.com/opera-listing/royal-opera-house-covent-garden/simon-boccanegra/15-november-2018/19-30
628,France,Paris,"Salle Favart, Opéra Comique","November 15, 17, 19 at 18:30","Stockhausen, Karlheinz (1928-2007)",Donnerstag aus Licht,https://bachtrack.com/opera-listing/opera-comique/donnerstag-aus-licht/15-november-2018/18-30
629,United Kingdom,London,The London Coliseum,"November 16, 22, 27, 29, December 04, 07 at 19:30","Britten, Benjamin (1913-1976)","War Requiem, Op.66",https://bachtrack.com/opera-listing/the-london-coliseum/war-requiem/16-november-2018/19-30
630,United States,Los Angeles,Dorothy Chandler Pavilion,"November 17 19:30, November 25 14:00, December 06 19:30, December 09 14:00, December 12 19:30, December 15 19:30","Humperdinck, Engelbert (1854-1921)",Hänsel und Gretel,https://bachtrack.com/opera-listing/dorothy-chandler-pavilion/hansel-und-gretel/17-november-2018/19-30
631,United Kingdom,Blackburn,Blackburn Cathedral,On Saturday 17 November 2018 at 19:00,"Bach, Johann Sebastian (1685-1750)","St Matthew Passion, BWV244",https://bachtrack.com/concert-listing/blackburn-cathedral/st-matthew-passion/17-november-2018/19-00
632,United States,Chicago,Lyric Opera House,"November 17 19:30, November 21 14:00, November 25 14:00, November 30 19:00, December 03 19:00, December 06 19:00, December 09 14:00","Verdi, Giuseppe (1813-1901)",Il trovatore,https://bachtrack.com/opera-listing/lyric-opera-house/il-trovatore/17-november-2018/19-30
633,Italy,Naples,Teatro Politeama,"November 17 20:00, November 18 17:00, November 20 20:00, November 22 18:00, November 24 20:00","De Giosa, Nicola (1819-1885)",Don Checco,https://bachtrack.com/opera-listing/teatro-politeama/don-checco/17-november-2018/20-00
634,France,Lyon,Opéra Nouvel,"November 17 15:00, 19:30, November 18 16:00, November 20 19:30, November 21 19:30","Ravel, Maurice (1875-1937)",L'Heure espagnole,https://bachtrack.com/opera-listing/opera-nouvel/lheure-espagnole/17-november-2018/15-00
635,Germany,Berlin,"Berlin State Opera, Unter den Linden","November 17 19:30, November 18 18:00, November 23 19:30, November 30 19:00","Monteverdi, Claudio (1567-1643)","L'Orfeo (Orpheus), SV318",https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/lorfeo/17-november-2018/19-30
636,Switzerland,Zürich,Opernhaus,"November 18 17:00, November 22 19:00, November 25 14:00, December 12 10:30, December 13 10:30, December 15 11:00, December 23 11:00, December 26 14:00, December 30 14:00, 2019 January 18 10:30, January 20 14:00, January 27 14:00, February 17 14:00, March 24 14:00, April 20 19:00, April 22 14:00, April 25 19:30","Humperdinck, Engelbert (1854-1921)",Hänsel und Gretel,https://bachtrack.com/opera-listing/opernhaus-1069/hansel-und-gretel/18-november-2018/17-00
637,Germany,Leipzig,Opernhaus,"November 18, December 09 at 18:00","Wagner, Richard (1813-1883)",Tannhäuser,https://bachtrack.com/opera-listing/opernhaus/tannhauser/18-november-2018/18-00
638,Germany,Berlin,Deutsche Oper,"November 18 18:00, November 24 19:30, December 21 19:30, December 26 18:00, December 31 14:00, 19:30, 2019 January 01 18:00, January 03 19:30","Strauss II, Johann (1825-1899)",Die Fledermaus,https://bachtrack.com/opera-listing/deutsche-oper/die-fledermaus/18-november-2018/18-00
639,United Kingdom,Sheffield,Firth Hall,On Sunday 18 November 2018 at 19:00,"Bach, Johann Sebastian (1685-1750)","St Matthew Passion, BWV244",https://bachtrack.com/concert-listing/firth-hall/st-matthew-passion/18-november-2018/19-00
640,United Kingdom,Inverness,Eden Court Theatre,"November 20, 22, 24 at 19:15","Verdi, Giuseppe (1813-1901)",Rigoletto,https://bachtrack.com/opera-listing/eden-court-theatre/rigoletto/20-november-2018/19-15
641,United Kingdom,Woking,New Victoria Theatre,"November 20, 24 at 19:15","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/new-victoria-theatre/la-traviata/20-november-2018/19-15
642,Belgium,Liège,Opéra Royal de Wallonie-Liège,"November 20, 22, 25 15:00, 27, 28, 29, 30, December 01, 02 15:00 (at 20:00 unless shown)","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/opera-royal-de-wallonie-liege/tosca/20-november-2018/20-00
643,United Kingdom,Exeter,Northcott Theatre,On Tuesday 20 November 2018 at 19:30,"Handel, George Frideric (1685-1759)","Radamisto, HWV 12a, b",https://bachtrack.com/opera-listing/northcott-theatre/radamisto/20-november-2018/19-30
644,Germany,Munich,Nationaltheater,"November 21 19:00, November 24 17:00, November 27 19:00","Janáček, Leoš (1854-1928)",Jenůfa,https://bachtrack.com/opera-listing/nationaltheater-1927/jenufa/21-november-2018/19-00
645,United Kingdom,Exeter,Northcott Theatre,"November 21, 22 at 19:30","Purcell, Henry (1659-1695)",Dido and Aeneas,https://bachtrack.com/concert-listing/northcott-theatre/triple-bill-dido-amp-aeneas-purcell-jonas-carissimi-i-will-not-speak-gesualdo/21-november-2018/19-30
646,United Kingdom,London,Southbank Centre: Royal Festival Hall,On Wednesday 21 November 2018 at 19:30,"Verdi, Giuseppe (1813-1901)",Macbeth: Ballet Music,https://bachtrack.com/opera-listing/royal-festival-hall/puccinis-le-villi/21-november-2018/19-30
647,Germany,Leipzig,Opernhaus,"November 23 19:30, 2019 February 01 19:30, June 09 18:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/opernhaus/die-zauberflote/23-november-2018/19-30
648,Germany,Munich,Nationaltheater,"November 23, 28, December 02, 06, 10, 15, 21 at 19:00","Verdi, Giuseppe (1813-1901)",Otello,https://bachtrack.com/opera-listing/nationaltheater-1927/otello/23-november-2018/19-00
649,Austria,Vienna,Staatsoper,"November 23, 26, 29 at 00:00","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/staatsoper/la-boheme/23-november-2018/00-00
650,Japan,Tokyo,"New National Theatre, Tokyo: Opera House","November 23 14:00, November 25 14:00, November 27 14:00, November 30 14:00, December 02 14:00, December 04 18:30","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/new-national-theatre-tokyo-opera-house/carmen/23-november-2018/14-00
651,United Kingdom,Exeter,Exeter Cathedral,On Friday 23 November 2018 at 19:00,"Bach, Johann Sebastian (1685-1750)","St Matthew Passion, BWV244",https://bachtrack.com/concert-listing/exeter-cathedral/st-matthew-passion/23-november-2018/19-00
652,United Kingdom,Woking,New Victoria Theatre,On Friday 23 November 2018 at 19:15,"Massenet, Jules (1842-1912)",Cendrillon,https://bachtrack.com/opera-listing/new-victoria-theatre/cendrillon/23-november-2018/19-15
653,United States,New York City,Lincoln Center: Metropolitan Opera House,"November 23 19:30, November 26 19:30, November 30 19:30, December 05 19:30, December 08 12:30, December 12 19:30, December 15 20:30","Puccini, Giacomo (1858-1924)",Il tabarro,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/il-trittico/23-november-2018/19-30
654,United States,New York City,Lincoln Center: Metropolitan Opera House,"November 23 19:30, November 26 19:30, November 30 19:30, December 05 19:30, December 08 12:30, December 12 19:30, December 15 20:30","Puccini, Giacomo (1858-1924)",Suor Angelica,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/il-trittico/23-november-2018/19-30
655,United States,New York City,Lincoln Center: Metropolitan Opera House,"November 23 19:30, November 26 19:30, November 30 19:30, December 05 19:30, December 08 12:30, December 12 19:30, December 15 20:30","Puccini, Giacomo (1858-1924)",Gianni Schicchi,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/il-trittico/23-november-2018/19-30
656,France,Paris,Palais Garnier (Opéra de Paris),"November 23, 28, December 01, 03, 06, 09 14:30, 11, 13, 17, 20, 24, 26 (at 19:30 unless shown)","Rossini, Gioachino (1792-1868)",La Cenerentola (Cinderella),https://bachtrack.com/opera-listing/palais-garnier-opera-de-paris/la-cenerentola/23-november-2018/19-30
657,Germany,Berlin,Komische Oper Berlin,"November 24 19:30, December 01 19:30, December 12 19:30, December 21 19:30, December 31 14:00, 19:00, 2019 January 10 19:30, January 25 19:30, February 03 16:00, March 27 19:30, April 03 19:30","Bernstein, Leonard (1918-1990)",Candide,https://bachtrack.com/opera-listing/komische-oper-berlin/candide/24-november-2018/19-30
658,Austria,Vienna,Staatsoper,"November 25, 27, 30 at 00:00","Rossini, Gioachino (1792-1868)",La Cenerentola (Cinderella),https://bachtrack.com/opera-listing/staatsoper/la-cenerentola/25-november-2018/00-00
659,Switzerland,Zürich,Opernhaus,"November 25 19:30, November 30 19:00, December 02 14:00, December 08 19:00, December 14 20:00","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/opernhaus-1069/madama-butterfly/25-november-2018/19-30
660,Germany,Berlin,"Berlin State Opera, Unter den Linden","November 25 18:00, November 29 19:00, December 02 18:00, December 04 19:00, December 06 19:00, December 08 19:00","Rameau, Jean-Philippe (1683-1764)",Hippolyte et Aricie,https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/hippolyte-et-aricie/25-november-2018/18-00
661,United Kingdom,London,The London Coliseum,"November 26 19:30, November 28 19:30, December 01 15:00, December 03 19:30, December 06 19:30, December 08 18:30, 2019 January 29 19:30, February 02 19:30, February 07 19:30, February 09 18:30, February 12 19:30, February 14 19:30, February 16 15:00, February 20 19:30, February 22 19:30","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/the-london-coliseum/la-boheme/26-november-2018/19-30
662,United Kingdom,Milton Keynes,Milton Keynes Theatre,"November 27, 30 at 19:15","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/milton-keynes-theatre/la-traviata/27-november-2018/19-15
663,Hungary,Budapest,Müpa: Béla Bartók National Concert Hall,On Tuesday 27 November 2018 at 19:00,"Verdi, Giuseppe (1813-1901)",I due Foscari,https://bachtrack.com/opera-listing/mupa-bela-bartok-national-concert-hall/verdi-i-due-foscari-concert-performance/27-november-2018/19-00
664,United Kingdom,London,"Royal Opera House, Covent Garden","November 27 12:00, 30, December 04, 08, 11, 14, 19 12:00, 22 (at 19:00 unless shown)","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/royal-opera-house-covent-garden/carmen/27-november-2018/12-00
665,Germany,Berlin,Deutsche Oper,"November 28 19:30, December 02 18:00, December 05 19:30","Giordano, Umberto (1867-1948)",Andrea Chénier,https://bachtrack.com/opera-listing/deutsche-oper/andrea-chenier/28-november-2018/19-30
666,United Kingdom,Milton Keynes,Milton Keynes Theatre,"November 28, December 01 at 19:15","Massenet, Jules (1842-1912)",Cendrillon,https://bachtrack.com/opera-listing/milton-keynes-theatre/cendrillon/28-november-2018/19-15
667,Austria,Vienna,Kammeroper,"November 28, 30, December 02, 05, 07, 11, 14, 18, 21, 27 at 19:00","Verdi, Giuseppe (1813-1901)",Don Carlo(s),https://bachtrack.com/opera-listing/kammeroper/don-carlos/28-november-2018/19-00
668,Germany,Munich,Nationaltheater,"November 29 19:00, December 01 18:00, December 03 18:00","Mozart, Wolfgang Amadeus (1756-1791)",Così fan tutte,https://bachtrack.com/opera-listing/nationaltheater-1927/cosi-fan-tutte/29-november-2018/19-00
669,United States,New York City,Lincoln Center: Metropolitan Opera House,"November 29 19:30, December 03 19:30, December 06 20:00, December 10 19:30, December 13 20:00","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/lincoln-center-metropolitan-opera-house/la-boheme/29-november-2018/19-30
670,Australia,Sydney,City Recital Hall,"November 29 19:00, December 01 14:00, December 02 17:00, December 04 19:00, December 05 19:00","Hasse, Johann Adolf (1699-1783)",Artaserse,https://bachtrack.com/opera-listing/city-recital-hall/artaserse/29-november-2018/19-00
671,Spain,Madrid,Teatro Real,"November 30, December 02 18:00, 03, 05, 06, 08, 09 18:00, 11, 12, 15, 16, 19, 20, 23 18:00, 26, 27, 29, 30 18:00 (at 20:00 unless shown)","Puccini, Giacomo (1858-1924)",Turandot,https://bachtrack.com/opera-listing/teatro-real/turandot/30-november-2018/20-00
672,Germany,Leipzig,Opernhaus,"November 30 19:30, December 15 19:00, December 22 19:00, December 27 19:20, 2019 February 02 19:00, February 23 19:00, March 19:00","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/opernhaus/carmen/30-november-2018/19-30
673,United Kingdom,Leeds,Leeds Town Hall,"November 30 19:00, December 02 16:00, December 06 19:00, December 07 19:00","Puts, Kevin (b. 1972)",Silent Night,https://bachtrack.com/opera-listing/leeds-town-hall/silent-night/30-november-2018/19-00
